City_ID,City,Country,Max Temp,Current Decription,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
3,Matagami,CA,77.61,clear sky,49.7502,-77.6328,Motel Le Caribou
4,Hermanus,ZA,56.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Port Alfred,ZA,61.83,overcast clouds,-33.5906,26.891,The Halyards Hotel
7,Bredasdorp,ZA,54.48,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
8,Aberdeen,GB,82.89,scattered clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
9,Namibe,AO,62.85,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
10,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
11,Baykit,RU,59.31,overcast clouds,61.67,96.37,
12,Teguldet,RU,61.56,few clouds,57.3064,88.1667,
13,Albany,US,76.06,broken clouds,42.6001,-73.9662,
14,Nikolskoye,RU,67.89,few clouds,59.7035,30.7861,Tourist House - Sablino
15,Yermakovskoye,RU,58.19,clear sky,53.2831,92.4003,"Oya, Gostinitsa"
16,Victoria,HK,82.33,overcast clouds,22.2855,114.1577,Mini Central
18,Port Lincoln,AU,51.46,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
20,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
21,Zhigansk,RU,56.93,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
22,Cape Town,ZA,57.11,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Curaca,BR,88.5,clear sky,-8.9903,-39.9094,Hotel Recanto Campestre
24,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
25,Grafton,US,79.63,overcast clouds,42.207,-71.6856,The Grafton Inn
26,Carnarvon,AU,59.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
27,Busselton,AU,50.22,few clouds,-33.65,115.3333,Observatory Guest House
28,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Fortuna,US,75.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
