City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Decription,Date
Hithadhoo,-0.6,73.0833,82.36,73,64,8.01,MV,broken clouds,2022-08-10 17:39:41
New Norfolk,-42.7826,147.0587,40.91,75,91,3.22,AU,overcast clouds,2022-08-10 17:29:51
Hobart,-42.8794,147.3294,41.27,82,95,6.91,AU,overcast clouds,2022-08-10 17:39:42
Matagami,49.7502,-77.6328,77.61,37,2,12.5,CA,clear sky,2022-08-10 17:39:42
Hermanus,-34.4187,19.2345,56.8,88,100,9.42,ZA,overcast clouds,2022-08-10 17:39:43
Kaitangata,-46.2817,169.8464,36.61,84,97,1.72,NZ,overcast clouds,2022-08-10 17:36:19
Port Alfred,-33.5906,26.891,61.83,82,87,4.68,ZA,overcast clouds,2022-08-10 17:31:20
Bredasdorp,-34.5322,20.0403,54.48,93,100,3.8,ZA,overcast clouds,2022-08-10 17:32:44
Aberdeen,57.1437,-2.0981,82.89,31,43,10.36,GB,scattered clouds,2022-08-10 17:39:44
Namibe,-15.1961,12.1522,62.85,88,8,7.63,AO,clear sky,2022-08-10 17:39:44
Salalah,17.0151,54.0924,77.09,100,100,4.61,OM,light intensity drizzle,2022-08-10 17:32:55
Baykit,61.67,96.37,59.31,79,100,1.52,RU,overcast clouds,2022-08-10 17:39:45
Teguldet,57.3064,88.1667,61.56,84,24,4.05,RU,few clouds,2022-08-10 17:39:45
Albany,42.6001,-73.9662,76.06,67,58,4.41,US,broken clouds,2022-08-10 17:27:58
Nikolskoye,59.7035,30.7861,67.89,73,21,3.98,RU,few clouds,2022-08-10 17:39:46
Yermakovskoye,53.2831,92.4003,58.19,70,1,1.3,RU,clear sky,2022-08-10 17:39:46
Victoria,22.2855,114.1577,82.33,90,100,13.0,HK,overcast clouds,2022-08-10 17:38:42
Luxor,25.6989,32.6421,96.85,28,0,6.91,EG,clear sky,2022-08-10 17:39:47
Port Lincoln,-34.7333,135.8667,51.46,80,79,19.55,AU,broken clouds,2022-08-10 17:39:47
Bluff,-46.6,168.3333,42.3,68,100,7.92,NZ,overcast clouds,2022-08-10 17:35:22
Kuching,1.55,110.3333,77.22,88,40,3.44,MY,scattered clouds,2022-08-10 17:39:47
Zhigansk,66.7697,123.3711,56.93,79,66,7.78,RU,broken clouds,2022-08-10 17:39:48
Cape Town,-33.9258,18.4232,57.11,93,75,12.66,ZA,broken clouds,2022-08-10 17:35:03
Curaca,-8.9903,-39.9094,88.5,26,5,7.78,BR,clear sky,2022-08-10 17:39:48
Kodiak,57.79,-152.4072,56.71,82,100,3.44,US,overcast clouds,2022-08-10 17:39:49
Grafton,42.207,-71.6856,79.63,69,100,3.44,US,overcast clouds,2022-08-10 17:39:49
Carnarvon,-24.8667,113.6333,59.07,51,0,16.49,AU,clear sky,2022-08-10 17:39:49
Busselton,-33.65,115.3333,50.22,83,15,5.26,AU,few clouds,2022-08-10 17:30:06
Puerto Ayora,-0.7393,-90.3518,80.56,85,89,8.01,EC,overcast clouds,2022-08-10 17:33:46
Fortuna,40.5982,-124.1573,75.92,67,0,3.44,US,clear sky,2022-08-10 17:36:54
Korla,41.7597,86.1469,89.78,23,86,13.4,CN,overcast clouds,2022-08-10 17:39:50
Urumqi,43.801,87.6005,72.55,53,0,4.47,CN,clear sky,2022-08-10 17:39:51
Kapaa,22.0752,-159.319,78.12,84,75,16.11,US,broken clouds,2022-08-10 17:32:46
Ippy,6.2679,21.2247,70.11,97,99,3.96,CF,moderate rain,2022-08-10 17:39:51
Rikitea,-23.1203,-134.9692,73.08,80,94,25.43,PF,overcast clouds,2022-08-10 17:39:51
Luderitz,-26.6481,15.1594,58.1,75,48,13.44,NA,scattered clouds,2022-08-10 17:39:52
Yulara,-25.2406,130.9889,53.55,62,100,7.92,AU,overcast clouds,2022-08-10 17:32:54
Vaini,-21.2,-175.2,77.16,94,20,11.5,TO,few clouds,2022-08-10 17:31:23
Lagoa,39.05,-27.9833,71.26,70,44,7.63,PT,scattered clouds,2022-08-10 17:36:22
Atuona,-9.8,-139.0333,77.59,77,12,21.9,PF,few clouds,2022-08-10 17:33:00
Ribeira Grande,38.5167,-28.7,75.6,78,40,3.44,PT,scattered clouds,2022-08-10 17:39:53
Trier,49.7557,6.6394,85.95,28,26,7.18,DE,scattered clouds,2022-08-10 17:39:53
Provideniya,64.3833,-173.3,50.23,89,100,6.13,RU,overcast clouds,2022-08-10 17:39:53
